id,name,state,census_region,pop_dens,pop_dens4,pop_dens6,pct_black,pop,female,white,black,travel_time,land_area,hh_income,su_gun4,su_gun6,fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_dem_2012,per_gop_2012,diff_2012,winner,partywinner16,winner12,partywinner12,flipped
01017,Chambers County,AL,South,"[   50,  100)","[ 45,  118)","[ 45,   82)","[25.0,50.0)",34076,52,58.8,39.1,24.6,596.53,32402,"[ 8,11)","[ 8,10)",1017,5763,7803,13778,0.418275512,0.56633764,2040,0.470608433,0.521631644,743,Trump,Republican,Romney,Republican,No
01019,Cherokee County,AL,South,"[   10,   50)","[ 45,  118)","[ 45,   82)","[ 2.0, 5.0)",26037,50.4,93.2,4.5,26.9,553.7,34907,"[11,54]","[12,54]",1019,1524,8809,10503,0.1451014,0.838712749,7285,0.217805553,0.767749206,5368,Trump,Republican,Romney,Republican,No
01021,Chilton County,AL,South,"[   50,  100)","[ 45,  118)","[ 45,   82)","[10.0,15.0)",43931,50.8,87.5,10.3,31.8,692.85,41250,"[11,54]","[10,12)",1021,2909,15068,18255,0.159353602,0.825417694,12159,0.19450499,0.797866238,10519,Trump,Republican,Romney,Republican,No
01023,Choctaw County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[25.0,50.0)",13323,52.5,56.2,42.7,33.4,913.5,33941,"[ 8,11)","[ 8,10)",1023,3109,4102,7268,0.427765548,0.564391855,993,0.475204018,0.521029504,365,Trump,Republican,Romney,Republican,No
01025,Clarke County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[25.0,50.0)",24945,52.7,54.1,44.2,25.5,1238.47,29357,"[ 8,11)","[ 8,10)",1025,5712,7109,12936,0.441558442,0.549551639,1397,0.45685976700000003,0.539741086,1146,Trump,Republican,Romney,Republican,No
01027,Clay County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[10.0,15.0)",13552,50.8,83,14.4,30.7,603.96,34002,"[ 8,11)","[ 8,10)",1027,1234,5230,6572,0.187766281,0.795800365,3996,0.266566265,0.723192771,3032,Trump,Republican,Romney,Republican,No
01029,Cleburne County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[ 2.0, 5.0)",15080,50.4,94.7,3.6,31.4,560.1,38019,"[11,54]","[12,54]",1029,684,5738,6532,0.104715248,0.878444581,5054,0.15407807,0.836083783,4298,Trump,Republican,Romney,Republican,No
01031,Coffee County,AL,South,"[   50,  100)","[ 45,  118)","[ 45,   82)","[15.0,25.0)",50909,50.3,76.7,17.5,21.3,678.97,43768,"[ 8,11)","[10,12)",1031,4194,15825,20513,0.204455711,0.771462,11631,0.248490997,0.742480345,9739,Trump,Republican,Romney,Republican,No
01033,Colbert County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[15.0,25.0)",54543,51.9,80.8,16.4,22.7,592.62,39077,"[11,54]","[10,12)",1033,7296,16718,24626,0.296272233,0.678875985,9422,0.391888423,0.596004107,4771,Trump,Republican,Romney,Republican,No
01035,Conecuh County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[25.0,50.0)",12670,51.7,52.1,46,27.2,850.16,24658,"[11,54]","[10,12)",1035,3069,3413,6543,0.469050894,0.521626165,344,0.506345359,0.489662056,117,Trump,Republican,Obama,Democrat,Yes
01037,Coosa County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[25.0,50.0)",10886,50.2,66.5,31.3,30.2,650.93,37277,"[11,54]","[12,54]",1037,1780,3376,5223,0.340800306,0.646371817,1596,0.417318329,0.577531947,840,Trump,Republican,Romney,Republican,No
01039,Covington County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[10.0,15.0)",37914,51.6,84.6,12.7,23.3,1030.46,35869,"[ 8,11)","[ 8,10)",1039,2379,13222,15818,0.15039828,0.835883171,10843,0.204670775,0.788063574,8993,Trump,Republican,Romney,Republican,No
01041,Crenshaw County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[15.0,25.0)",13977,51.5,71.9,24.1,30.3,608.84,36275,"[ 8,11)","[10,12)",1041,1663,4511,6252,0.265994882,0.721529111,2848,0.319450944,0.674777726,2278,Trump,Republican,Romney,Republican,No
01043,Cullman County,AL,South,"[  100,  500)","[ 45,  118)","[ 82,  215)","[ 0.0, 2.0)",81289,50.4,96.2,1.4,26.4,734.84,38847,"[ 8,11)","[10,12)",1043,3730,32734,37278,0.100059016,0.878105049,29004,0.146331907,0.841822895,23075,Trump,Republican,Romney,Republican,No
01045,Dale County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[15.0,25.0)",49484,50.5,75.3,19.6,20.9,561.15,44889,"[ 8,11)","[ 8,10)",1045,4408,13798,18617,0.236772842,0.741150561,9390,0.284782492,0.70643092,7822,Trump,Republican,Romney,Republican,No
01047,Dallas County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[50.0,85.3]",41711,53.5,29,69.6,22,978.7,26519,"[ 5, 8)","[ 4, 7)",1047,12826,5784,18730,0.684783769,0.308809397,7042,0.697315629,0.300152847,8315,Clinton,Democrat,Obama,Democrat,No
01049,DeKalb County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[ 2.0, 5.0)",71065,50.7,92.4,2,23.3,777.09,37851,"[ 8,11)","[ 8,10)",1049,3682,21779,26086,0.141148509,0.834892279,18097,0.219570506,0.768224142,13081,Trump,Republican,Romney,Republican,No
01051,Elmore County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[15.0,25.0)",80977,51.4,76.2,21.1,28.2,618.49,54766,"[ 8,11)","[ 8,10)",1051,8436,27619,36905,0.228586912,0.748380978,19183,0.252257336,0.739926637,17283,Trump,Republican,Romney,Republican,No
01053,Escambia County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[25.0,50.0)",37733,48.5,62.4,32.2,23.5,945.08,30687,"[ 5, 8)","[ 7, 8)",1053,4698,10282,15213,0.308814829,0.675869322,5584,0.369201726,0.624528047,3787,Trump,Republican,Romney,Republican,No
01055,Etowah County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[15.0,25.0)",103531,51.5,81.3,15.5,23.9,534.99,38013,"[ 8,11)","[10,12)",1055,10350,32132,43474,0.238073331,0.739108433,21782,0.301059073,0.684914097,16310,Trump,Republican,Romney,Republican,No
01057,Fayette County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[10.0,15.0)",16874,50.4,86.4,11.8,27.5,627.66,33838,"[11,54]","[12,54]",1057,1358,6705,8196,0.165690581,0.818081991,5347,0.227881699,0.762639029,4231,Trump,Republican,Romney,Republican,No
01059,Franklin County,AL,South,"[   10,   50)","[ 45,  118)","[ 45,   82)","[ 2.0, 5.0)",31601,50.1,92.3,4.3,26.2,633.82,36415,"[11,54]","[10,12)",1059,2197,9466,11955,0.18377248,0.791802593,7269,0.292015839,0.69684133,4396,Trump,Republican,Romney,Republican,No
01061,Geneva County,AL,South,"[   10,   50)","[ 45,  118)","[ 45,   82)","[ 5.0,10.0)",26712,51,87.2,9.8,25.6,574.41,35625,"[11,54]","[12,54]",1061,1522,9967,11659,0.130542928,0.854876061,8445,0.180155505,0.810478883,7134,Trump,Republican,Romney,Republican,No
01063,Greene County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[50.0,85.3]",8553,52.3,18.7,80.2,28,647.11,24226,"[ 5, 8)","[ 7, 8)",1063,4006,838,4862,0.823940765,0.172357055,3168,0.847222222,0.149962462,3715,Clinton,Democrat,Obama,Democrat,No
01065,Hale County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[50.0,85.3]",15184,52.5,41,57.9,27.1,643.94,30051,"[ 5, 8)","[ 4, 7)",1065,4772,3172,8010,0.595755306,0.396004994,1600,0.625985165,0.371464998,2196,Clinton,Democrat,Obama,Democrat,No
01067,Henry County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[25.0,50.0)",17190,51.8,70.1,27.5,26,561.75,41650,"[11,54]","[10,12)",1067,2286,5623,8017,0.285144069,0.701384558,3337,0.350114943,0.644252874,2559,Trump,Republican,Romney,Republican,No
01069,Houston County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[25.0,50.0)",104193,52,70.4,26.4,20.8,579.82,40948,"[ 8,11)","[ 8,10)",1069,10547,30567,42030,0.250939805,0.727266238,20020,0.295103124,0.698181297,16866,Trump,Republican,Romney,Republican,No
01071,Jackson County,AL,South,"[   10,   50)","[ 45,  118)","[ 45,   82)","[ 2.0, 5.0)",52665,50.7,91.8,3.4,26.4,1077.87,37634,"[11,54]","[12,54]",1071,3663,16643,20785,0.17623286,0.800721674,12980,0.282996838,0.701629774,8605,Trump,Republican,Romney,Republican,No
01073,Jefferson County,AL,South,"[  500, 1000)","[118,71672]","[215,71672]","[25.0,50.0)",660793,52.7,54.2,42.8,23.4,1111.28,45429,"[ 8,11)","[ 8,10)",1073,151581,130614,290111,0.522493115,0.450220778,20967,0.526187777,0.466057398,18245,Clinton,Democrat,Obama,Democrat,No
01075,Lamar County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[10.0,15.0)",14086,51.2,87,11.4,25.7,604.85,36028,"[11,54]","[10,12)",1075,1035,5819,6931,0.149329101,0.839561391,4784,0.229501327,0.761698561,3810,Trump,Republican,Romney,Republican,No
01077,Lauderdale County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[10.0,15.0)",93096,52.1,87,10.2,24.5,667.7,42844,"[ 8,11)","[ 8,10)",1077,9877,27735,38813,0.254476593,0.714580166,17858,0.338788339,0.647610274,11398,Trump,Republican,Romney,Republican,No
01079,Lawrence County,AL,South,"[   10,   50)","[ 45,  118)","[ 45,   82)","[10.0,15.0)",33477,51.4,78.1,11.4,27.8,690.68,38551,"[11,54]","[12,54]",1079,3611,10732,14623,0.246939752,0.73391233,7121,0.359045387,0.62895092,3800,Trump,Republican,Romney,Republican,No
01081,Lee County,AL,South,"[  100,  500)","[118,71672]","[215,71672]","[15.0,25.0)",154255,50.5,71.4,23.5,21.4,607.54,43542,"[ 5, 8)","[ 7, 8)",1081,20987,34321,57668,0.363928002,0.595148089,13334,0.393125751,0.59247898,10788,Trump,Republican,Romney,Republican,No
01083,Limestone County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[10.0,15.0)",90787,49.6,82.4,13.2,26.3,559.94,48619,"[ 8,11)","[ 8,10)",1083,9340,28824,39400,0.237055838,0.731573604,19484,0.277043439,0.713523132,15454,Trump,Republican,Romney,Republican,No
01085,Lowndes County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[50.0,85.3]",10580,52.4,25.6,73.1,30.4,715.91,26230,"[ 0, 5)","[ 4, 7)",1085,4882,1751,6676,0.731276213,0.262282804,3131,0.764330363,0.233275702,3993,Clinton,Democrat,Obama,Democrat,No
01087,Macon County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[50.0,85.3]",19425,53.9,16.7,81.5,23.1,608.89,30724,"[ 5, 8)","[ 4, 7)",1087,7237,1394,8748,0.827274806,0.159350709,5843,0.870967742,0.127298989,7723,Clinton,Democrat,Obama,Democrat,No
01089,Madison County,AL,South,"[  100,  500)","[118,71672]","[215,71672]","[15.0,25.0)",350299,51.1,69.6,24.5,21,801.59,58434,"[ 5, 8)","[ 7, 8)",1089,62435,89199,159473,0.39150828,0.559336063,26764,0.399671478,0.586418076,28877,Trump,Republican,Romney,Republican,No
01091,Marengo County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[50.0,85.3]",20110,52.9,47.4,51.1,22.4,976.88,35079,"[ 5, 8)","[ 4, 7)",1091,5607,5224,10948,0.512148338,0.477164779,383,0.534711965,0.462333826,833,Clinton,Democrat,Obama,Democrat,No
01093,Marion County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[ 2.0, 5.0)",30271,50.4,94,4.2,24,742.29,32888,"[11,54]","[10,12)",1093,1432,11273,12912,0.110904585,0.873063817,9841,0.185806345,0.801057502,7447,Trump,Republican,Romney,Republican,No
01095,Marshall County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[ 2.0, 5.0)",94636,50.9,94,2.3,23.9,565.84,39526,"[ 8,11)","[10,12)",1095,4913,29217,34965,0.140511941,0.835607036,24304,0.193221383,0.794484671,19514,Trump,Republican,Romney,Republican,No
01097,Mobile County,AL,South,"[  100,  500)","[118,71672]","[215,71672]","[25.0,50.0)",415123,52.1,60.3,35.3,23.9,1229.44,43028,"[ 5, 8)","[ 7, 8)",1097,68429,91087,163387,0.41881545,0.557492334,22658,0.450183421,0.542893064,16149,Trump,Republican,Romney,Republican,No
01099,Monroe County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[25.0,50.0)",21947,52.3,55.4,41.3,23.3,1025.68,29203,"[ 8,11)","[10,12)",1099,4310,5771,10185,0.42317133,0.566617575,1461,0.458520599,0.536516854,833,Trump,Republican,Romney,Republican,No
01101,Montgomery County,AL,South,"[  100,  500)","[118,71672]","[215,71672]","[50.0,85.3]",226189,52.5,39.5,56.3,19.3,784.25,44790,"[ 5, 8)","[ 7, 8)",1101,58669,33928,94572,0.620363321,0.358753119,24741,0.618907262,0.376131105,24710,Clinton,Democrat,Obama,Democrat,No
01103,Morgan County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[10.0,15.0)",119607,50.8,83.8,12.4,23.7,579.34,44800,"[ 8,11)","[10,12)",1103,11216,37392,49991,0.224360385,0.747974635,26176,0.272389122,0.717691776,21908,Trump,Republican,Romney,Republican,No
01105,Perry County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[50.0,85.3]",9826,53.2,31.2,67.6,26.8,719.66,28209,"[ 0, 5)","[ 0, 4)",1105,3823,1403,5255,0.727497621,0.266983825,2420,0.747897774,0.247980214,3032,Clinton,Democrat,Obama,Democrat,No
01107,Pickens County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[25.0,50.0)",20365,52,57.3,40.9,29.3,881.41,28741,"[ 8,11)","[10,12)",1107,3972,5454,9494,0.418369497,0.574468085,1482,0.463381602,0.533284717,671,Trump,Republican,Romney,Republican,No
01109,Pike County,AL,South,"[   10,   50)","[ 45,  118)","[ 45,   82)","[25.0,50.0)",33389,51.9,58.8,36.8,18.7,672.09,33090,"[11,54]","[10,12)",1109,5039,7681,13025,0.386871401,0.589712092,2642,0.427473856,0.564772,1930,Trump,Republican,Romney,Republican,No
01111,Randolph County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[15.0,25.0)",22539,51.5,77.7,20.1,26.8,580.55,35213,"[11,54]","[12,54]",1111,2290,7697,10130,0.226061204,0.75982231,5407,0.296025407,0.694735829,4143,Trump,Republican,Romney,Republican,No
01113,Russell County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[25.0,50.0)",59608,51,53.8,42.3,23.6,641.14,36143,"[ 8,11)","[ 8,10)",1113,9577,9210,19136,0.500470318,0.481291806,367,0.556144348,0.438556515,2219,Clinton,Democrat,Obama,Democrat,No
01115,St. Clair County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[ 5.0,10.0)",86697,50.1,88.1,9.3,30,631.9,50786,"[11,54]","[10,12)",1115,5550,31579,37937,0.146295174,0.832406358,26029,0.16493377,0.826121635,23211,Trump,Republican,Romney,Republican,No
01117,Shelby County,AL,South,"[  100,  500)","[118,71672]","[215,71672]","[10.0,15.0)",206655,51.2,84.4,11.8,29,784.93,68770,"[ 8,11)","[ 8,10)",1117,22927,72846,99208,0.231100314,0.734275462,49919,0.21630298,0.772667129,51299,Trump,Republican,Romney,Republican,No
01119,Sumter County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[50.0,85.3]",13166,54.7,25.5,73.5,23.4,903.89,22186,"[ 0, 5)","[ 0, 4)",1119,4739,1581,6391,0.741511501,0.247379127,3158,0.771530249,0.225622776,3835,Clinton,Democrat,Obama,Democrat,No
01121,Talladega County,AL,South,"[  100,  500)","[ 45,  118)","[ 82,  215)","[25.0,50.0)",81322,51.3,65.5,32.3,23.9,736.78,35439,"[ 8,11)","[10,12)",1121,12108,20596,33218,0.364501174,0.620025287,8488,0.416544107,0.576792628,5339,Trump,Republican,Romney,Republican,No
01123,Tallapoosa County,AL,South,"[   50,  100)","[ 45,  118)","[ 45,   82)","[25.0,50.0)",41165,51.5,70.9,27.1,23.9,716.52,39130,"[ 8,11)","[ 8,10)",1123,5271,12967,18504,0.284857328,0.700767402,7696,0.33490465,0.659042211,6051,Trump,Republican,Romney,Republican,No
01125,Tuscaloosa County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[25.0,50.0)",202212,51.6,66.5,30.7,21.8,1321.76,45408,"[ 8,11)","[ 8,10)",1125,31746,47701,81708,0.388529887,0.583798404,15955,0.407707497,0.582240907,13700,Trump,Republican,Romney,Republican,No
01127,Walker County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[ 5.0,10.0)",65471,51.4,91.6,6.2,29.3,791.19,37566,"[ 8,11)","[10,12)",1127,4486,24208,29243,0.153404233,0.827822043,19722,0.229883847,0.75913254,15082,Trump,Republican,Romney,Republican,No
01129,Washington County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[15.0,25.0)",16834,51.2,66.3,24.5,31.8,1080.21,42156,"[ 8,11)","[ 8,10)",1129,2366,6031,8492,0.278615167,0.710197833,3665,0.339116539,0.65620363,2778,Trump,Republican,Romney,Republican,No
01131,Wilcox County,AL,South,"[   10,   50)","[  0,   17)","[  9,   25)","[50.0,85.3]",11098,52.3,27.9,71.2,21.6,888.5,23642,"[ 5, 8)","[ 7, 8)",1131,4329,1737,6095,0.710254307,0.284987695,2592,0.743393921,0.255995112,3191,Clinton,Democrat,Obama,Democrat,No
01133,Winston County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[ 0.0, 2.0)",24150,51,96.5,0.9,27,612.98,32900,"[ 8,11)","[ 8,10)",1133,871,9225,10255,0.084934178,0.89956119,8354,0.132413509,0.855642504,7024,Trump,Republican,Romney,Republican,No
02000,2,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 2.0, 5.0)",736732,47.6,67.3,3.9,18.8,570640.95,70760,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02013,Aleutians East Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 5.0,10.0)",3360,32.6,24.7,7.7,4.8,6981.94,61250,"[ 0, 5)","[ 0, 4)",2013,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02016,Aleutians West Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 5.0,10.0)",5750,32.3,40.5,7.4,6.4,4390.28,81853,"[ 8,11)","[10,12)",2016,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02020,Anchorage Municipality,AK,West,"[  100,  500)","[118,71672]","[ 82,  215)","[ 5.0,10.0)",301010,48.6,66.6,6.3,19.4,1704.68,77454,"[ 8,11)","[10,12)",2020,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02050,Bethel Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",17868,48.3,12.1,0.7,7.4,40570,51689,"[11,54]","[12,54]",2050,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02060,Bristol Bay Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",957,44.6,47.3,0,10.2,503.84,79531,"[11,54]","[12,54]",2060,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02068,Denali Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",1921,45.3,89,1.3,15.2,12751.41,72500,"[ 0, 5)","[ 0, 4)",2068,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02070,Dillingham Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",4988,48.1,18.4,0.4,8.7,18568.78,54150,"[11,54]","[12,54]",2070,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02090,Fairbanks North Star Borough,AK,West,"[   10,   50)","[  0,   17)","[  9,   25)","[ 5.0,10.0)",99357,46.2,77.7,5.5,19.2,7338.21,69223,"[11,54]","[10,12)",2090,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02100,Haines Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",2566,49.8,81.3,0.5,11.7,2318.6,52866,"[ 0, 5)","[ 0, 4)",2100,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02105,Hoonah-Angoon Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",2082,46.9,49.4,0.6,9.7,7524.92,49545,"[ 0, 5)","[ 0, 4)",2105,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02110,Juneau City and Borough,AK,West,"[   10,   50)","[  0,   17)","[  9,   25)","[ 0.0, 2.0)",32406,48.9,70.3,1.5,15.1,2701.93,81490,"[ 8,11)","[ 8,10)",2110,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02122,Kenai Peninsula Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",57477,47.6,84.6,0.9,19.1,16075.33,61793,"[11,54]","[12,54]",2122,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02130,Ketchikan Gateway Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",13787,47.9,68.3,0.9,13.7,4858.41,62519,"[11,54]","[10,12)",2130,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02150,Kodiak Island Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",13986,46.1,57.6,1.3,11.1,6549.58,68718,"[ 8,11)","[10,12)",2150,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02164,Lake and Peninsula Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",1631,46.8,24.6,0.8,6.4,23652.01,51786,"[ 0, 5)","[ 0, 4)",2164,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02170,Matanuska-Susitna Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",97882,48,84.5,1.3,32.8,24607.9,71037,"[11,54]","[12,54]",2170,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02180,Nome Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",9817,47.3,17.9,0.7,6.7,22961.76,49974,"[11,54]","[12,54]",2180,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02185,North Slope Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",9703,37.9,34.1,1.1,8.9,88695.41,80761,"[11,54]","[12,54]",2185,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02188,Northwest Arctic Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",7717,46,13.2,0.7,7.6,35572.58,61607,"[11,54]","[12,54]",2188,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02195,Petersburg Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",3160,48.2,71.5,0.7,7.7,3281.98,63934,"[ 0, 5)","[ 0, 4)",2195,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
