year,id,age,race,sex,siblings,kids
1972,84,28,White,Female,3,2
1972,85,21,White,Male,6+,0
1972,86,26,White,Male,1,0
1972,87,31,White,Female,3,0
1972,88,28,White,Female,4,0
1972,89,26,White,Male,2,0
1972,90,20,Black,Female,6+,0
1972,91,25,White,Male,3,0
1972,92,57,White,Female,2,2
1972,93,58,White,Female,4,3
1972,94,54,White,Male,1,3
1972,95,35,White,Female,2,2
1972,96,40,White,Male,3,3
1972,97,57,White,Male,0,3
1972,98,64,White,Female,6+,2
1972,99,34,White,Male,1,2
1972,100,25,White,Female,1,2
1972,101,28,White,Male,5,1
1972,102,41,White,Male,2,3
1972,103,36,White,Female,1,4+
1972,104,31,White,Male,3,1
1972,105,45,White,Male,0,4+
1972,106,74,White,Female,6+,4+
1972,107,64,White,Female,6+,0
1972,108,23,White,Female,1,0
1972,109,27,White,Female,1,0
1972,110,42,White,Male,4,4+
1972,111,47,Black,Male,1,4+
1972,112,26,Black,Male,3,0
1972,113,34,White,Female,6+,3
1972,114,52,White,Male,6+,1
1972,115,24,White,Male,6+,3
1972,116,36,White,Female,1,2
1972,117,25,Black,Male,6+,1
1972,118,46,Black,Female,4,4+
1972,119,54,Black,Female,5,4+
1972,120,27,Black,Female,6+,3
1972,121,20,Black,Female,3,2
1972,122,53,Black,Male,6+,3
1972,123,47,Black,Male,6+,4+
1972,124,70,Black,Male,6+,0
1972,125,69,White,Female,6+,2
1972,126,49,White,Female,1,1
1972,127,29,White,Female,2,1
1972,128,48,White,Female,4,3
1972,129,67,White,Female,6+,0
1972,130,22,White,Male,0,0
1972,131,75,White,Male,2,2
1972,132,38,White,Male,1,3
1972,133,46,White,Male,6+,2
1972,134,63,White,Female,4,2
1972,135,34,White,Female,0,2
1972,136,57,White,Male,6+,4+
1972,137,22,White,Female,2,0
1972,138,46,White,Male,0,3
1972,139,73,White,Female,3,3
1972,140,73,White,Male,6+,0
1972,141,53,White,Male,1,3
1972,142,84,White,Female,6+,2
1972,143,27,White,Male,6+,1
1972,144,69,White,Female,6+,2
1972,145,82,White,Female,6+,4+
1972,146,67,White,Female,6+,0
1972,147,41,White,Male,1,4+
1972,148,72,White,Male,4,4+
1972,149,38,White,Male,4,2
1972,150,59,White,Female,6+,3
1972,151,42,White,Male,0,3
1972,152,48,White,Male,1,4+
1972,153,59,White,Female,6+,2
1972,154,39,White,Female,3,4+
1972,155,49,White,Female,6+,4+
1972,156,33,White,Female,6+,4+
1972,157,53,White,Female,6+,4+
1972,158,30,White,Female,0,1
1972,159,25,White,Male,3,3
1972,160,36,White,Female,2,3
1972,161,30,White,Male,3,3
1972,162,28,White,Male,6+,3
1972,163,52,White,Male,6+,0
1972,164,44,White,Male,1,0
1972,165,50,White,Male,2,0
1972,166,38,White,Female,6+,4+
1972,167,26,White,Male,2,0
1972,168,28,White,Female,2,0
1972,169,81,White,Female,2,1
1972,170,55,White,Female,1,2
1972,171,76,White,Male,6+,3
1972,172,29,White,Male,1,1
1972,173,19,White,Male,6+,0
1972,174,76,White,Female,6+,0
1972,175,61,White,Male,1,0
1972,176,26,White,Male,2,0
1972,177,39,White,Female,3,4+
1972,178,19,White,Male,6+,0
1972,179,26,White,Female,5,0
1972,180,21,White,Female,5,0
1972,181,45,Black,Female,6+,4+
1972,182,27,Black,Female,6+,4+
1972,183,76,Black,Male,6+,4+
1972,184,63,Black,Female,2,4+
1972,185,52,Black,Male,6+,4+
1972,186,65,Black,Male,6+,4+
1972,187,59,Black,Male,6+,1
1972,188,26,White,Male,3,0
1972,189,41,White,Female,3,4+
1972,190,56,White,Male,2,3
1972,191,62,White,Male,1,1
1972,192,29,White,Male,3,2
1972,193,25,White,Female,2,0
1972,194,41,White,Female,4,3
1972,195,21,White,Female,5,0
1972,196,49,White,Female,5,4+
1972,197,38,White,Male,0,3
1972,198,50,White,Male,0,4+
1972,199,43,White,Male,4,4+
1972,200,32,White,Male,2,1
1972,201,55,White,Female,3,2
1972,202,27,White,Female,3,3
1972,203,56,White,Male,3,2
1972,204,48,White,Female,6+,2
1972,205,56,White,Male,1,4+
1972,206,44,White,Female,6+,1
1972,207,25,White,Female,4,3
1972,208,32,White,Male,6+,2
1972,209,33,White,Female,2,2
1972,210,48,White,Male,5,4+
1972,211,45,White,Male,5,3
1972,212,45,White,Female,1,3
1972,213,72,White,Male,6+,4+
1972,214,45,Black,Female,2,1
1972,215,70,Black,Female,0,0
1972,216,31,Black,Female,6+,4+
1972,217,20,Black,Male,6+,0
1972,218,22,Black,Female,6+,1
1972,219,63,Black,Male,6+,2
1972,220,70,Black,Male,6+,2
1972,221,68,White,Male,1,4+
1972,222,43,White,Female,4,2
1972,223,53,White,Female,1,1
1972,224,44,White,Female,5,3
1972,225,37,White,Female,0,3
1972,226,55,White,Male,4,4+
1972,227,52,White,Male,5,2
1972,228,64,White,Male,3,2
1972,230,64,White,Male,6+,0
1972,231,27,White,Female,0,0
1972,232,28,White,Male,2,2
1972,233,22,White,Male,3,0
1972,234,61,White,Female,6+,3
1972,235,82,White,Female,6+,2
1972,236,22,White,Male,5,0
1972,237,30,White,Female,4,4+
1972,238,29,White,Female,6+,3
1972,239,60,White,Male,5,1
1972,240,39,White,Female,3,3
1972,241,21,White,Female,6+,2
1972,242,56,White,Male,6+,4+
1972,243,72,White,Male,6+,4+
1972,244,61,White,Male,1,4+
1972,245,71,White,Male,1,0
1972,246,56,White,Female,6+,4+
1972,247,71,White,Female,6+,3
1972,248,48,White,Male,6+,2
1972,249,43,White,Female,3,2
1972,250,61,White,Female,4,0
1972,251,70,White,Male,6+,2
1972,252,48,White,Female,6+,2
1972,253,34,White,Female,2,4+
1972,254,19,White,Male,1,0
1972,255,52,White,Female,1,0
1972,256,30,White,Male,3,3
1972,257,60,White,Male,6+,4+
1972,258,50,White,Male,3,2
1972,259,47,White,Female,3,2
1972,260,50,White,Female,2,1
1972,261,68,White,Female,6+,4+
1972,262,50,White,Male,2,0
1972,263,21,White,Male,0,0
1972,264,72,White,Female,2,3
1972,265,52,White,Male,4,2
1972,266,32,White,Female,0,3
1972,267,52,White,Male,4,3
1972,268,60,White,Female,1,0
1972,269,32,Black,Male,6+,3
1972,270,60,White,Female,5,0
1972,271,80,White,Female,3,1
1972,272,58,Black,Male,5,0
1972,273,36,Black,Female,6+,4+
1972,274,31,Black,Female,6+,1
1972,275,30,Black,Male,6+,1
1972,276,63,White,Male,2,2
1972,277,34,Black,Male,6+,2
1972,278,29,White,Female,1,3
1972,279,36,White,Female,6+,4+
1972,280,39,White,Female,6+,0
1972,281,73,White,Male,2,4+
1972,282,38,White,Male,1,3
1972,283,55,White,Male,1,4+
1972,284,30,White,Male,1,4+
1972,285,44,White,Female,3,4+
1972,286,43,White,Female,5,4+
1972,287,38,White,Male,3,4+
1972,288,44,White,Female,6+,4+
1972,289,75,White,Female,6+,4+
1972,290,43,White,Male,2,3
1972,291,43,White,Female,6+,4+
1972,292,27,White,Male,2,3
1972,293,58,White,Male,1,4+
1972,294,45,White,Male,2,4+
1972,295,31,White,Male,2,2
1972,296,23,White,Female,1,3
1972,297,69,White,Male,5,0
1972,298,35,White,Female,1,1
1972,299,43,White,Female,6+,3
1972,300,56,White,Female,6+,1
1972,301,36,Black,Female,6+,4+
1972,302,47,Black,Female,1,4+
1972,303,29,Black,Male,6+,2
1972,304,60,Black,Male,2,2
1972,305,37,Black,Female,2,2
1972,306,20,Black,Male,6+,1
1972,307,55,Black,Female,6+,4+
1972,308,71,Black,Female,5,4+
1972,309,30,Black,Male,6+,2
1972,310,59,Black,Female,6+,1
1972,311,42,Black,Female,6+,0
1972,312,55,Black,Female,6+,4+
1972,313,24,Black,Male,6+,0
1972,314,30,Black,Male,6+,0
1972,315,70,Black,Male,6+,0
1972,316,43,Black,Female,2,4+
1972,317,45,White,Male,5,0
1972,318,25,White,Male,0,0
1972,319,37,White,Female,6+,1
1972,320,22,White,Male,4,0
1972,321,27,White,Female,4,0
1972,322,28,White,Female,6+,0
1972,323,42,White,Male,3,1
1972,324,42,White,Female,2,0
1972,325,30,White,Male,6+,3
1972,326,40,White,Female,2,3
1972,327,37,White,Male,3,2
1972,328,24,White,Female,2,0
1972,329,46,White,Male,3,0
1972,330,53,White,Female,5,1
1972,331,64,White,Male,2,1
1972,332,20,White,Female,6+,0
1972,333,60,White,Male,6+,4+
1972,334,33,White,Male,4,2
1972,335,70,White,Female,4,0
1972,336,60,White,Male,1,3
1972,337,26,White,Female,5,3
1972,338,74,White,Female,6+,4+
1972,339,33,White,Female,2,3
1972,340,23,Black,Female,6+,4+
1972,341,19,Black,Male,5,1
1972,342,59,Black,Female,6+,2
1972,343,70,Black,Female,6+,2
1972,344,52,Black,Male,3,4+
1972,346,75,Black,Male,0,1
1972,347,49,White,Female,6+,2
1972,348,49,White,Male,4,4+
1972,349,46,White,Male,2,1
1972,351,28,White,Female,1,0
1972,352,23,White,Male,6+,1
1972,353,64,White,Male,6+,4+
1972,354,33,Black,Female,2,4+
1972,355,69,Black,Female,3,4+
1972,356,72,Black,Male,1,1
1972,357,59,Black,Male,2,1
1972,358,69,Black,Female,5,2
1972,359,58,Black,Female,1,0
1972,360,53,Black,Male,6+,1
1972,361,62,Black,Male,6+,1
1972,362,58,White,Male,4,3
1972,363,32,White,Female,0,1
1972,364,58,White,Female,2,2
1972,365,70,White,Female,6+,1
1972,366,69,White,Male,6+,2
1972,367,36,White,Male,6+,4+
1972,368,47,White,Male,6+,4+
1972,369,31,White,Male,2,4+
1972,370,81,White,Female,5,4+
1972,371,24,White,Male,2,2
1972,372,51,White,Female,3,4+
1972,373,69,White,Female,6+,1
1972,374,30,White,Female,4,3
1972,375,69,White,Male,6+,0
1972,376,45,White,Male,5,4+
1972,377,24,White,Male,2,1
1972,378,66,White,Male,3,0
1972,379,29,White,Female,2,1
1972,380,57,White,Female,3,2
1972,381,58,White,Male,5,1
1972,382,77,White,Male,6+,4+
1972,383,30,White,Female,1,1
1972,384,56,White,Female,2,2
1972,385,49,White,Female,6+,2
1972,386,52,White,Female,4,2
1972,387,40,White,Male,4,4+
1972,388,48,White,Male,2,3
1972,389,47,White,Female,3,3
1972,390,31,White,Male,2,0
1972,391,21,Black,Male,3,0
1972,392,84,Black,Female,6+,1
1972,393,61,Black,Female,6+,4+
1972,394,46,Black,Female,3,1
1972,395,39,Black,Female,0,4+
1972,396,64,Black,Female,6+,0
1972,397,77,Black,Male,0,3
1972,399,53,Black,Male,1,4+
1972,400,52,Black,Male,5,3
1972,401,71,White,Male,3,0
1972,402,52,White,Male,6+,3
1972,403,57,White,Male,4,4+
1972,404,69,White,Female,6+,3
1972,405,74,White,Female,5,0
1972,406,58,White,Female,1,2
1972,407,23,White,Female,1,0
1972,408,61,White,Female,6+,3
1972,409,60,White,Female,6+,2
1972,410,36,White,Female,5,3
1972,411,58,White,Male,1,3
1972,412,28,White,Male,6+,1
1972,413,29,White,Male,6+,3
1972,414,25,White,Male,1,3
1972,415,57,White,Male,6+,0
1972,416,26,White,Female,4,2
1972,417,55,White,Male,2,2
1972,418,29,White,Female,1,0
1972,419,68,White,Female,6+,1
1972,420,18,White,Female,2,0
1972,421,49,White,Male,6+,2
1972,422,64,White,Male,6+,2
1972,423,38,White,Male,1,4+
1972,424,30,White,Male,3,4+
1972,425,56,White,Female,5,4+
1972,426,20,White,Female,6+,1
1972,427,19,White,Male,3,0
1972,428,50,White,Female,1,0
1972,429,38,White,Male,1,0
1972,430,64,White,Female,5,1
1972,431,74,White,Female,1,0
1972,432,75,White,Female,3,2
1972,433,22,White,Male,2,0
1972,434,75,White,Male,3,2
1972,435,23,White,Female,3,0
1972,436,79,White,Female,5,2
1972,437,60,White,Male,6+,2
1972,438,26,White,Male,4,0
1972,439,63,White,Male,3,4+
1972,440,63,White,Female,6+,0
1972,441,34,White,Female,1,4+
1972,442,33,White,Male,3,4+
1972,443,53,White,Male,6+,3
1972,444,78,White,Male,6+,2
1972,445,22,White,Female,2,2
1972,446,32,White,Male,2,0
1972,447,27,Black,Male,5,0
1972,448,35,Black,Female,1,2
1972,449,39,Black,Female,2,0
1972,450,24,Black,Female,6+,1
1972,451,22,Black,Female,1,0
1972,452,28,Black,Male,2,4+
1972,453,57,Black,Male,2,4+
1972,454,48,Black,Male,0,4+
1972,455,26,Black,Male,6+,2
1972,456,50,White,Female,6+,1
1972,457,32,White,Female,3,4+
1972,458,56,White,Female,6+,4+
1972,459,26,White,Male,0,0
1972,460,30,White,Female,4,2
1972,461,83,White,Male,4,4+
1972,462,26,White,Female,1,1
1972,463,20,White,Male,4,0
1972,464,41,White,Male,4,2
1972,465,56,White,Female,5,0
1972,466,83,White,Female,6+,4+
1972,467,27,White,Female,3,4+
1972,468,21,White,Female,6+,1
1972,469,19,White,Male,6+,0
1972,470,41,White,Male,0,4+
1972,471,35,White,Male,5,4+
1972,472,57,White,Female,2,4+
1972,473,42,White,Female,4,4+
1972,474,54,White,Female,6+,4+
1972,475,24,White,Female,4,2
1972,476,62,White,Male,6+,4+
1972,477,39,White,Male,6+,3
1972,478,24,White,Male,0,2
1972,479,66,White,Female,2,0
1972,480,55,White,Male,1,2
1972,481,25,White,Male,1,0
1972,482,61,White,Female,3,0
1972,483,62,White,Female,3,1
1972,484,29,White,Male,1,0
1972,485,27,White,Male,6+,1
1972,486,44,White,Female,1,3
1972,487,44,White,Male,0,1
1972,488,34,White,Female,3,2
1972,489,23,White,Male,4,2
1972,490,58,White,Female,4,1
1972,492,34,White,Female,2,1
1972,493,42,White,Female,6+,3
1972,495,52,White,Male,6+,1
1972,496,22,White,Female,6+,0
1972,497,35,White,Female,0,1
1972,498,45,White,Male,2,2
1972,499,30,White,Female,2,4+
1972,500,35,White,Female,2,4+
1972,501,36,White,Male,6+,0
1972,502,57,White,Male,6+,4+
1972,503,28,White,Male,3,0
1972,504,42,White,Female,4,4+
1972,505,23,White,Female,3,2
1972,506,53,White,Female,0,0
1972,507,22,White,Male,4,1
1972,508,60,White,Male,6+,2
1972,509,56,White,Male,2,2
1972,510,24,White,Male,4,0
1972,511,26,White,Male,6+,1
1972,512,55,White,Female,1,4+
1972,513,20,White,Female,3,0
1972,514,30,White,Male,1,2
1972,516,36,White,Female,6+,3
1972,517,42,White,Female,3,4+
1972,518,28,White,Male,1,3
1972,519,54,White,Male,3,2
1972,520,49,White,Male,4,2
1972,521,30,White,Female,6+,2
1972,522,40,White,Female,3,3
1972,523,55,White,Male,2,3
1972,524,74,White,Male,6+,3
1972,525,48,White,Male,6+,2
1972,526,63,White,Female,3,2
1972,527,72,White,Male,3,4+
1972,528,30,White,Female,6+,4+
1972,529,78,White,Female,6+,0
1972,530,44,White,Female,6+,4+
1972,531,48,White,Male,2,2
1972,532,29,White,Female,1,2
1972,533,21,White,Male,3,0
1972,534,20,White,Female,2,0
1972,535,52,White,Female,3,2
1972,536,40,White,Male,4,4+
1972,537,42,White,Male,0,2
1972,538,54,White,Male,2,2
1972,539,43,White,Female,2,3
1972,540,25,White,Male,0,0
1972,541,28,White,Female,1,2
1972,542,43,White,Female,5,2
1972,543,45,White,Male,1,4+
1972,544,48,White,Female,6+,4+
1972,545,36,White,Female,5,1
1972,546,28,White,Male,3,2
1972,547,27,White,Male,0,1
1972,548,52,White,Female,5,4+
1972,549,20,White,Female,2,0
1972,550,28,White,Female,1,4+
1972,551,38,White,Male,6+,2
1972,552,48,White,Female,5,4+
1972,553,47,White,Male,6+,4+
1972,554,59,White,Male,3,3
1972,555,26,White,Male,3,1
1972,556,63,White,Female,3,1
1972,557,80,White,Female,6+,4+
1972,558,68,White,Female,6+,0
1972,559,49,White,Female,6+,4+
1972,560,21,White,Male,1,0
1972,561,27,White,Female,6+,4+
1972,562,41,White,Male,5,3
1972,563,31,White,Male,4,0
1972,564,76,White,Male,6+,4+
1972,565,26,White,Male,6+,2
1972,566,73,White,Male,2,0
1972,567,49,White,Female,4,1
1972,568,72,White,Female,6+,4+
1972,569,53,White,Female,4,3
1972,570,39,White,Female,6+,3
1972,571,31,White,Female,5,4+
1972,572,52,White,Female,4,0
1972,573,61,White,Male,6+,1
1972,574,85,White,Male,6+,4+
1972,575,54,White,Male,2,4+
1972,576,69,White,Female,2,0
1972,577,65,White,Male,6+,3
1972,578,41,White,Female,2,4+
1972,579,58,White,Male,5,2
1972,580,57,White,Female,4,3
1972,581,55,White,Male,5,3
1972,582,47,White,Female,3,4+
1972,583,60,White,Male,2,0
1972,584,53,White,Male,4,4+
1972,585,57,White,Male,3,0
1972,586,28,White,Male,2,2
1972,587,48,White,Female,2,4+
1972,588,51,White,Male,5,2
1972,589,33,White,Female,2,3
1972,590,47,White,Female,2,2
1972,591,36,White,Female,2,4+
1972,592,19,White,Male,2,0
1972,593,26,White,Male,4,1
1972,594,25,White,Male,2,0
1972,595,24,White,Female,3,3
1972,596,22,White,Male,2,0
1972,597,25,White,Female,6+,1
1972,598,21,White,Female,1,2
1972,599,29,White,Male,2,0
1972,600,26,White,Female,5,2
1972,601,21,White,Male,4,0
1972,602,53,White,Male,6+,2
1972,603,44,White,Female,4,4+
1972,604,46,White,Female,6+,3
1972,605,46,White,Female,1,3
1972,606,60,White,Female,6+,4+
1972,607,50,White,Female,6+,4+
1972,608,37,White,Male,1,4+
1972,609,76,White,Male,6+,0
1972,610,41,White,Female,5,1
1972,611,24,White,Female,3,2
1972,612,33,White,Female,5,3
1972,613,49,White,Female,1,2
1972,614,22,White,Male,4,1
1972,615,67,White,Male,4,0
1972,616,74,White,Male,5,1
1972,617,37,White,Male,2,2
1972,618,45,White,Female,6+,2
1972,619,59,White,Female,6+,1
1972,620,65,White,Female,0,0
1972,621,67,White,Female,2,3
1972,622,66,White,Male,6+,0
1972,623,28,White,Male,4,1
1972,624,37,White,Male,2,3
1972,625,72,White,Female,1,0
1972,626,22,White,Female,0,0
1972,627,60,White,Female,0,0
1972,628,60,White,Female,2,1
1972,629,35,White,Male,2,2
1972,630,60,White,Male,1,1
1972,631,79,White,Male,6+,3
1972,632,45,White,Male,1,3
1972,633,65,White,Female,3,2
1972,634,45,White,Male,0,4+
1972,635,65,White,Female,6+,3
1972,636,22,White,Female,2,2
1972,637,60,Other,Male,3,4+
1972,638,38,White,Male,5,4+
1972,639,29,White,Female,3,1
1972,640,26,Other,Male,6+,0
1972,641,81,White,Female,6+,3
1972,642,61,White,Female,5,4+
1972,643,71,White,Female,3,2
1972,644,26,White,Male,3,2
1972,645,70,White,Male,4,1
1972,646,34,White,Male,1,1
1972,647,48,White,Male,6+,0
1972,648,23,White,Female,6+,1
1972,649,60,White,Male,3,2
1972,650,33,White,Male,2,4+
1972,651,52,White,Female,6+,4+
1972,652,55,White,Female,0,1
1972,653,21,White,Female,6+,2
1972,654,26,White,Male,4,0
1972,655,77,White,Female,6+,1
1972,656,69,White,Female,4,4+
1972,657,25,White,Male,2,0
1972,658,43,White,Female,3,4+
1972,659,77,White,Female,0,4+
1972,660,65,White,Male,6+,4+
1972,661,31,White,Male,1,2
1972,662,65,White,Male,3,3
1972,663,58,White,Male,3,3
1972,664,63,Black,Female,6+,1
1972,665,74,Black,Female,0,1
1972,666,20,Black,Male,6+,0
1972,667,42,Black,Female,1,4+
1972,668,20,Black,Male,3,0
1972,669,53,Black,Female,4,2
1972,670,40,Black,Male,6+,0
1972,671,53,Black,Male,0,4+
1972,672,35,Black,Male,6+,0
1972,673,20,Other,Female,6+,0
1972,674,69,Black,Female,6+,0
1972,675,60,Black,Male,2,1
1972,676,45,Black,Male,3,0
1972,677,43,Black,Male,0,2
1972,678,72,Black,Male,2,2
1972,679,28,White,Female,3,2
1972,680,35,Black,Female,2,2
1972,681,43,White,Male,3,2
1972,682,51,White,Female,2,3
1972,683,45,White,Female,2,4+
1972,684,65,White,Female,2,2
1972,685,48,White,Male,2,3
1972,686,47,White,Male,5,2
1972,687,30,White,Male,2,0
1972,688,45,White,Female,1,4+
1972,689,20,White,Female,1,0
1972,690,29,Black,Female,6+,4+
1972,691,54,Black,Male,6+,0
1972,692,22,Black,Female,3,1
1972,693,48,Black,Male,3,0
1972,694,32,Black,Female,1,2
1972,695,45,Black,Female,6+,2
1972,696,46,Black,Male,6+,2
1972,697,60,Black,Male,6+,0
1972,698,60,White,Female,4,3
1972,699,76,White,Female,6+,0
1972,700,31,White,Female,4,4+
1972,701,45,White,Male,5,4+
1972,702,20,Black,Male,1,0
1972,703,36,Black,Male,6+,1
1972,704,56,Black,Male,6+,0
1972,705,22,White,Female,6+,0
1972,706,29,White,Female,0,1
1972,707,45,White,Male,3,2
1972,708,44,White,Female,6+,3
1972,709,45,White,Male,1,1
1972,710,49,White,Female,6+,0
1972,711,82,White,Female,4,2
1972,712,33,White,Male,4,3
1972,713,43,White,Female,1,3
1972,714,38,White,Female,2,4+
1972,715,51,White,Female,2,2
1972,716,26,White,Female,4,2
1972,717,19,White,Male,6+,0
1972,718,33,White,Male,1,3
1972,719,57,White,Male,0,3
1972,720,46,White,Male,4,3
1972,721,46,White,Male,2,3
1972,722,80,White,Female,5,4+
1972,723,55,White,Female,6+,4+
1972,724,29,White,Male,1,1
1972,725,29,White,Female,5,3
1972,726,82,White,Female,1,2
1972,727,66,White,Male,6+,0
1972,728,68,White,Male,6+,4+
1972,729,47,White,Male,6+,2
1972,730,44,Black,Male,2,4+
1972,731,29,White,Male,6+,0
1972,732,53,White,Female,0,3
1972,733,49,White,Female,5,0
1972,734,25,White,Female,1,2
1972,735,31,White,Female,3,2
1972,736,29,White,Male,1,2
1972,737,21,White,Female,6+,1
1972,738,25,White,Female,1,1
1972,739,25,White,Female,1,3
1972,740,21,White,Male,0,1
1972,741,27,White,Male,5,3
1972,742,41,White,Male,5,2
1972,743,58,White,Male,2,3
1972,744,46,White,Female,3,4+
1972,745,30,White,Male,2,3
1972,746,81,White,Female,6+,4+
1972,747,21,White,Male,3,0
1972,748,31,White,Male,6+,3
1972,749,49,White,Male,6+,4+
1972,750,64,White,Female,6+,4+
1972,751,75,White,Female,1,4+
1972,752,30,White,Female,6+,4+
1972,753,19,White,Female,1,0
1972,754,59,White,Male,6+,3
1972,755,71,White,Female,5,2
1972,756,73,White,Male,6+,3
1972,757,19,White,Male,2,0
1972,758,54,White,Male,6+,4+
1972,759,56,White,Male,5,4+
1972,760,54,White,Female,3,3
1972,761,32,White,Female,2,2
1972,762,63,White,Female,2,0
1972,763,48,White,Female,6+,3
1972,764,22,White,Male,1,0
1972,765,70,White,Male,6+,2
1972,766,64,White,Male,2,0
1972,767,23,White,Female,4,2
1972,768,59,White,Male,2,3
1972,769,43,White,Female,0,4+
1972,770,59,White,Male,2,4+
1972,771,21,White,Female,0,1
1972,772,33,White,Male,3,2
1972,773,47,White,Male,3,4+
1972,774,40,White,Female,3,3
1972,775,26,White,Female,2,0
1972,776,56,White,Female,2,0
1972,777,35,White,Male,3,2
1972,778,78,White,Female,6+,2
1972,779,83,White,Female,6+,0
1972,780,54,White,Male,5,2
1972,781,34,White,Male,3,2
1972,782,33,White,Female,2,3
1972,783,28,White,Male,2,3
1972,784,70,White,Female,1,1
1972,785,49,Black,Female,2,3
1972,786,23,Black,Female,5,2
1972,787,47,Black,Female,4,3
1972,788,57,White,Female,1,1
1972,789,25,Black,Male,4,0
1972,790,60,Black,Male,2,0
1972,791,24,Black,Male,5,0
1972,792,33,Black,Male,6+,4+
1972,793,25,Black,Male,1,2
1972,794,21,White,Male,6+,0
1972,795,43,White,Male,4,3
1972,796,53,White,Male,6+,2
1972,797,43,White,Male,1,4+
1972,798,49,White,Female,1,0
1972,799,36,White,Female,1,3
1972,800,32,White,Female,3,3
1972,801,34,White,Female,2,4+
1972,802,78,White,Female,1,0
1972,803,73,White,Male,2,1
1972,804,73,White,Female,2,2
1972,805,70,White,Female,2,4+
1972,806,27,White,Male,1,2
1972,807,82,White,Female,6+,0
1972,808,22,White,Male,3,0
1972,809,67,White,Male,4,3
1972,810,51,White,Male,6+,3
1972,811,54,White,Male,2,2
1972,812,49,White,Male,0,1
1972,813,36,White,Female,3,2
1972,814,45,White,Female,3,4+
1972,815,35,White,Female,2,2
1972,816,42,White,Female,1,3
1972,817,56,White,Male,2,0
1972,818,54,White,Female,6+,4+
1972,819,52,White,Female,6+,4+
1972,820,30,White,Female,5,3
1972,821,38,White,Female,6+,4+
1972,822,24,White,Male,6+,1
1972,823,42,Black,Male,3,0
1972,824,45,White,Male,0,3
1972,825,47,White,Female,5,4+
1972,826,36,White,Male,2,4+
1972,827,45,White,Male,6+,4+
1972,828,42,White,Male,0,4+
1972,829,22,White,Female,6+,1
1972,830,31,White,Male,1,3
1972,831,28,White,Female,4,0
1972,832,30,White,Female,3,4+
1972,833,26,White,Male,1,0
1972,834,26,White,Male,1,0
1972,835,39,White,Female,2,4+
1972,836,21,White,Male,4,0
1972,837,19,White,Female,6+,0
1972,838,61,White,Female,6+,4+
1972,839,65,White,Male,6+,4+
1972,840,74,White,Female,6+,4+
1972,841,61,White,Male,2,4+
1972,842,64,White,Male,5,3
